"Question_ID","Difficulty","Category","Question","A","B","C","D","Correct_Answer"
"1","Medium","Geography","What is the capital of Canada?","Vancouver","Ottawa","Montreal","Toronto","B"
"2","Medium","Literature and Language","In Greek mythology, who is the goddess of wisdom?","Hera","Aphrodite","Athena","Artemis","C"
"3","Medium","Technology","Which material is widely used as a semiconductor in computer chips?","Silicon","Glass wool","Wood","Rubber","A"
"4","Medium","Nature and Biology","Which group of mammals includes bats?","Rodentia","Primates","Carnivora","Chiroptera","D"
"5","Medium","Technology","What does USB stand for?","Unified Storage Base","Universal Signal Board","Universal Serial Bus","User System Backup","C"
"6","Medium","Geography","Which African lake is the main source lake of the White Nile?","Lake Turkana","Lake Victoria","Lake Malawi","Lake Chad","B"
"7","Medium","Literature and Language","What literary device gives human qualities to nonhuman things?","Onomatopoeia","Understatement","Alliteration","Personification","D"
"8","Medium","Geography","Which mountain range forms a traditional boundary between Europe and Asia?","Urals","Alps","Andes","Atlas","A"
"9","Medium","Mathematics","How many degrees are in the interior angles of a triangle in Euclidean geometry?","180","360","270","90","A"
"10","Medium","Literature and Language","Who wrote Pride and Prejudice?","Charlotte Brontë","Mary Shelley","George Eliot","Jane Austen","D"
"11","Medium","Science","Which scientist formulated the three classical laws of motion?","Albert Einstein","Niels Bohr","Isaac Newton","Gregor Mendel","C"
"12","Medium","Technology","Which number system uses only 0 and 1?","Octal","Decimal","Binary","Hexadecimal","C"
"13","Medium","Food and Drink","Which sauce traditionally combines basil, pine nuts, garlic, cheese, and olive oil?","Hollandaise","Béchamel","Pesto","Tzatziki","C"
"14","Medium","Geography","Which country is home to the Atacama Desert's main expanse?","Paraguay","Chile","Uruguay","Brazil","B"
"15","Medium","History","Who was the first woman to win a Nobel Prize?","Dorothy Hodgkin","Rosalind Franklin","Marie Curie","Ada Lovelace","C"
"16","Medium","Mathematics","What is the next number in 1, 1, 2, 3, 5, 8?","12","11","13","16","C"
"17","Medium","Literature and Language","Who wrote the novel Nineteen Eighty-Four?","George Orwell","Aldous Huxley","Ray Bradbury","H. G. Wells","A"
"18","Medium","History","Which battle marked Napoleon's final defeat in 1815?","Waterloo","Trafalgar","Borodino","Austerlitz","A"
"19","Medium","Geography","Which river flows through Budapest?","Danube","Rhine","Elbe","Seine","A"
"20","Medium","Food and Drink","What is tofu primarily made from?","Almonds","Lentils","Chickpeas","Soybeans","D"
"21","Medium","Arts and Music","Who painted Guernica?","Henri Matisse","Pablo Picasso","Joan Miró","Diego Rivera","B"
"22","Medium","Food and Drink","Which pasta name refers to small rice-shaped pieces?","Farfalle","Fusilli","Orzo","Penne","C"
"23","Medium","Food and Drink","Which Japanese seasoning paste is made from fermented soybeans, often with a grain?","Wasabi","Tahini","Harissa","Miso","D"
"24","Medium","Arts and Music","Which architect designed the Fallingwater house?","Walter Gropius","Frank Lloyd Wright","Antoni Gaudí","Le Corbusier","B"
"25","Medium","Mathematics","What is 15 percent of 200?","15","40","30","20","C"
"26","Medium","Arts and Music","In photography, what does a faster shutter speed generally help to freeze?","Motion","Lens distortion","Color balance","Depth of field","A"
"27","Medium","History","Who led the Haitian Revolution and is known as Toussaint?","O'Higgins","San Martín","Louverture","Bolívar","C"
"28","Medium","Nature and Biology","Which relationship benefits both participating species?","Mutualism","Competition","Amensalism","Parasitism","A"
"29","Medium","History","Which document was sealed by King John in 1215?","Magna Carta","Domesday Book","Bill of Rights","Act of Settlement","A"
"30","Medium","Nature and Biology","What is the main structural substance in a typical plant cell wall?","Glycogen","Keratin","Chitin","Cellulose","D"
"31","Medium","Mathematics","If a car travels 150 kilometers in 3 hours, what is its average speed?","50 kilometers per hour","75 kilometers per hour","45 kilometers per hour","60 kilometers per hour","A"
"32","Medium","Sports and Games","How many points is a free throw worth in basketball?","Three","Two","One","Four","C"
"33","Medium","Arts and Music","Who composed The Four Seasons?","Johann Sebastian Bach","George Frideric Handel","Joseph Haydn","Antonio Vivaldi","D"
"34","Medium","Arts and Music","Which art movement is closely associated with Claude Monet?","Impressionism","Cubism","Dada","Surrealism","A"
"35","Medium","Sports and Games","In golf, what is one stroke under par on a hole called?","Bogey","Albatross","Eagle","Birdie","D"
"36","Medium","Literature and Language","Who wrote Things Fall Apart?","Wole Soyinka","Ngũgĩ wa Thiong'o","Ben Okri","Chinua Achebe","D"
"37","Medium","Technology","Who is credited with inventing the World Wide Web?","Tim Berners-Lee","Alan Turing","Steve Jobs","Bill Gates","A"
"38","Medium","Sports and Games","Which chess piece can jump over other pieces during a normal move?","Knight","Rook","Queen","Bishop","A"
"39","Medium","Mathematics","What is the median of 3, 5, 8, 11, and 20?","5","11","9.4","8","D"
"40","Medium","Nature and Biology","Which tree produces acorns?","Willow","Oak","Maple","Birch","B"
"41","Medium","Mathematics","What is the square root of 144?","18","12","14","16","B"
"42","Medium","Science","What is the SI unit of electrical resistance?","Ampere","Ohm","Volt","Watt","B"
"43","Medium","History","Which explorer's expedition completed the first circumnavigation of Earth after his death?","Ferdinand Magellan","Christopher Columbus","Vasco da Gama","James Cook","A"
"44","Medium","Technology","What is the purpose of a computer file backup?","To cool the processor","To clean the keyboard","To increase screen brightness","To preserve a recoverable copy of data","D"
"45","Medium","Science","What is the most abundant gas in Earth's atmosphere?","Oxygen","Nitrogen","Argon","Carbon dioxide","B"
"46","Medium","Literature and Language","Which novel begins with the narrator asking the reader to call him Ishmael?","Moby-Dick","The Old Man and the Sea","Robinson Crusoe","Treasure Island","A"
"47","Medium","Arts and Music","What is the lowest standard adult male classical singing voice?","Bass","Baritone","Countertenor","Tenor","A"
"48","Medium","History","Which treaty formally ended the state of war between Germany and the Allied Powers after World War I?","Treaty of Tordesillas","Treaty of Utrecht","Treaty of Paris of 1783","Treaty of Versailles","D"
"49","Medium","Literature and Language","What is a word that sounds like another word but differs in meaning called?","Homophone","Acronym","Antonym","Palindrome","A"
"50","Medium","Geography","What is the capital of New Zealand?","Christchurch","Wellington","Auckland","Dunedin","B"
"51","Medium","History","Which ancient ruler is associated with a Babylonian law code?","Darius III","Pericles","Hammurabi","Ashoka","C"
"52","Medium","Science","Which cell structures are the main sites of aerobic ATP production in humans?","Ribosomes","Mitochondria","Lysosomes","Centrioles","B"
"53","Medium","Arts and Music","What does crescendo instruct musicians to do?","Stop playing","Gradually get louder","Play faster immediately","Gradually get softer","B"
"54","Medium","Science","What type of rock forms when magma or lava cools and solidifies?","Igneous","Fossiliferous","Sedimentary","Metamorphic","A"
"55","Medium","Nature and Biology","What term describes an animal that eats both plants and animals?","Detritivore","Omnivore","Carnivore","Herbivore","B"
"56","Medium","Mathematics","What is the value of 2 to the fifth power?","32","10","16","64","A"
"57","Medium","Food and Drink","Which nut is traditionally used to make marzipan?","Walnut","Almond","Hazelnut","Pistachio","B"
"58","Medium","Science","Which planet has the shortest orbital period around the Sun?","Venus","Earth","Mars","Mercury","D"
"59","Medium","History","Which civilization built Machu Picchu?","Aztec","Inca","Olmec","Maya","B"
"60","Medium","Food and Drink","Which grain is traditionally used to make couscous?","Buckwheat","Corn","Wheat","Rice","C"
"61","Medium","Mathematics","Which of these numbers is prime?","27","21","29","39","C"
"62","Medium","Food and Drink","Which culinary term means cooking food gently in liquid below a full boil?","Searing","Roasting","Grilling","Poaching","D"
"63","Medium","Nature and Biology","Which of these animals is a marsupial?","Lemur","Sloth","Koala","Panda","C"
"64","Medium","History","Which empire was ruled by Suleiman the Magnificent?","Mughal Empire","Persian Achaemenid Empire","Byzantine Empire","Ottoman Empire","D"
"65","Medium","Literature and Language","In The Odyssey, what is the name of Odysseus's wife?","Clytemnestra","Penelope","Helen","Andromache","B"
"66","Medium","Sports and Games","Which city hosted the 2008 Summer Olympics?","London","Beijing","Sydney","Athens","B"
"67","Medium","Sports and Games","How many players per team are on court in standard indoor volleyball?","Five","Eight","Six","Seven","C"
"68","Medium","Science","Which element has the chemical symbol K?","Cobalt","Krypton","Calcium","Potassium","D"
"69","Medium","History","In which year did the French Revolution begin?","1776","1848","1815","1789","D"
"70","Medium","Arts and Music","Which Mexican artist painted many self-portraits and married Diego Rivera?","Frida Kahlo","Leonora Carrington","Remedios Varo","María Izquierdo","A"
"71","Medium","Science","Which blood cells primarily transport oxygen?","Lymphocytes","Red blood cells","Neutrophils","Platelets","B"
"72","Medium","Mathematics","What is the probability of rolling an even number on a fair six-sided die?","1/3","2/3","1/2","1/6","C"
"73","Medium","Science","What is the process by which a solid changes directly into a gas?","Deposition","Freezing","Condensation","Sublimation","D"
"74","Medium","Food and Drink","Which spice comes from the dried stigmas of a crocus flower?","Cinnamon","Saffron","Cardamom","Turmeric","B"
"75","Medium","Sports and Games","In cricket, what is a score of 100 runs by one batter in an innings called?","Maiden","Hat-trick","Century","Over","C"
"76","Medium","Technology","Which device converts sound into an electrical signal for recording?","Loudspeaker","Microphone","Projector","Monitor","B"
"77","Medium","Arts and Music","Which composer wrote the opera The Magic Flute?","Franz Schubert","Ludwig van Beethoven","Richard Wagner","Wolfgang Amadeus Mozart","D"
"78","Medium","Sports and Games","How long is an official marathon?","42.195 kilometers","45 kilometers","40 kilometers","41.5 kilometers","A"
"79","Medium","Geography","Which sea lies between Italy and the Balkan Peninsula?","Caspian Sea","Baltic Sea","Red Sea","Adriatic Sea","D"
"80","Medium","Mathematics","What is the area of a rectangle 8 meters long and 5 meters wide?","26 square meters","40 square meters","80 square meters","13 square meters","B"
"81","Medium","Arts and Music","Which museum houses the Mona Lisa?","Uffizi","Prado","Louvre","Rijksmuseum","C"
"82","Medium","Technology","Which component usually provides temporary working memory in a computer?","Power supply","DVD","RAM","SSD","C"
"83","Medium","Food and Drink","Which country is strongly associated with the fermented cabbage dish kimchi?","South Korea","Malaysia","Indonesia","Vietnam","A"
"84","Medium","Sports and Games","Which country won the men's FIFA World Cup in 2010?","Spain","Germany","Netherlands","Brazil","A"
"85","Medium","Science","What does a solution with a pH below 7 at 25 degrees Celsius indicate?","Alkalinity","Radioactivity","Acidity","Electrical neutrality","C"
"86","Medium","Geography","Which country contains the ancient city of Petra?","Jordan","Oman","Egypt","Lebanon","A"
"87","Medium","Nature and Biology","What is the scientific study of fungi called?","Entomology","Mycology","Ichthyology","Ornithology","B"
"88","Medium","Sports and Games","In tennis scoring, what term means zero points?","Love","Break","Let","Deuce","A"
"89","Medium","Technology","What does a web browser primarily let a user access?","Electrical circuits","Printed envelopes","Radio frequencies","Web pages","D"
"90","Medium","Geography","Which country has coastlines on both the Caribbean Sea and the Pacific Ocean?","Suriname","Costa Rica","Belize","Guyana","B"
"91","Medium","Technology","What does GPS stand for?","Global Power Supply","General Processing Service","Geographic Printing Standard","Global Positioning System","D"
"92","Medium","Technology","What does CPU stand for?","Central Program Upload","Control Peripheral Unit","Computer Power Utility","Central Processing Unit","D"
"93","Medium","Nature and Biology","Which process allows plants to release water vapor through their leaves?","Fermentation","Germination","Transpiration","Pollination","C"
"94","Medium","Food and Drink","Which country is the traditional origin of paella?","Portugal","Spain","Greece","Italy","B"
"95","Medium","Nature and Biology","What is the largest species of living penguin?","Adélie penguin","Gentoo penguin","Emperor penguin","King penguin","C"
"96","Medium","Sports and Games","Which cycling race awards a yellow jersey to its overall leader?","Giro d'Italia","Paris-Roubaix","Tour de France","Vuelta a España","C"
"97","Medium","Nature and Biology","Which organ in most fish helps control buoyancy?","Lateral line","Operculum","Swim bladder","Gill arch","C"
"98","Medium","Literature and Language","Which language family includes Spanish, French, and Romanian?","Germanic","Celtic","Slavic","Romance","D"
"99","Medium","Geography","Which strait separates Spain from Morocco?","Strait of Hormuz","Bering Strait","Strait of Malacca","Strait of Gibraltar","D"
"100","Medium","Literature and Language","Which author created the fictional land of Narnia?","J. R. R. Tolkien","C. S. Lewis","Lewis Carroll","Philip Pullman","B"
