"Question_ID","Difficulty","Category","Question","A","B","C","D","Correct_Answer"
"1","Hard","Nature and Biology","Which animal phylum includes sea stars and sea urchins?","Mollusca","Annelida","Echinodermata","Cnidaria","C"
"2","Hard","Science","Which quantum number identifies an atomic orbital's subshell type, such as s or p?","Spin quantum number","Magnetic quantum number","Azimuthal quantum number","Principal quantum number","C"
"3","Hard","Arts and Music","Which composer wrote the orchestral work La mer?","Claude Debussy","Gabriel Fauré","Maurice Ravel","Erik Satie","A"
"4","Hard","Geography","Which island is divided among Indonesia, Malaysia, and Brunei?","Sulawesi","Java","Sumatra","Borneo","D"
"5","Hard","Literature and Language","Which literary term means a part is used to refer to the whole, as in hands for workers?","Synecdoche","Oxymoron","Anaphora","Litotes","A"
"6","Hard","Literature and Language","Which poet wrote the collection Les Fleurs du mal?","Charles Baudelaire","Paul Verlaine","Arthur Rimbaud","Stéphane Mallarmé","A"
"7","Hard","Geography","Which country has the exclave of Cabinda?","Angola","Mozambique","Gabon","Namibia","A"
"8","Hard","History","Which ancient battle in 216 BC is famous for Hannibal's double envelopment of a Roman army?","Zama","Cannae","Pharsalus","Marathon","B"
"9","Hard","Arts and Music","Which art movement was launched with a manifesto by André Breton in 1924?","Futurism","Surrealism","Suprematism","Fauvism","B"
"10","Hard","Sports and Games","In baseball scoring, what does a 6-4-3 double play describe?","Third baseman to shortstop to first baseman","Shortstop to third baseman to first baseman","Shortstop to second baseman to first baseman","Second baseman to shortstop to first baseman","C"
"11","Hard","History","The Defenestration of Prague in 1618 helped trigger which conflict?","Great Northern War","War of the Spanish Succession","Thirty Years' War","Seven Years' War","C"
"12","Hard","Mathematics","If two fair six-sided dice are rolled, what is the probability that their sum is 9?","1/12","1/9","1/18","1/6","B"
"13","Hard","Science","Which element has the electron configuration [Ne] 3s2 3p3 in its neutral ground state?","Aluminum","Phosphorus","Sulfur","Silicon","B"
"14","Hard","Mathematics","How many distinct arrangements are possible for the letters in LEVEL?","20","60","120","30","D"
"15","Hard","Literature and Language","Which author wrote The Tale of Genji?","Yosano Akiko","Sei Shōnagon","Murasaki Shikibu","Higuchi Ichiyō","C"
"16","Hard","Food and Drink","Which Japanese citrus fruit is traditionally used in ponzu and has a notably aromatic rind?","Lychee","Yuzu","Persimmon","Loquat","B"
"17","Hard","Geography","Which country contains the historic region of Transylvania?","Slovakia","Romania","Serbia","Bulgaria","B"
"18","Hard","Mathematics","What is the sum of the interior angles of a convex dodecagon?","1,800 degrees","1,620 degrees","2,160 degrees","1,440 degrees","A"
"19","Hard","Technology","Which data structure uses first-in, first-out ordering?","Stack","Max heap","Binary search tree","Queue","D"
"20","Hard","Mathematics","What is the least common multiple of 18 and 24?","48","96","144","72","D"
"21","Hard","History","Which treaty in 1494 divided newly claimed lands outside Europe between Spain and Portugal?","Treaty of Zaragoza","Treaty of Tordesillas","Treaty of Utrecht","Treaty of Westphalia","B"
"22","Hard","Science","Which thermodynamic potential is minimized at equilibrium at constant temperature and pressure?","Enthalpy","Gibbs free energy","Helmholtz free energy","Internal energy","B"
"23","Hard","History","Which West African empire was ruled by Mansa Musa?","Kanem-Bornu Empire","Mali Empire","Songhai Empire","Ghana Empire","B"
"24","Hard","History","Which 1555 settlement established the principle commonly summarized as cuius regio, eius religio in the Holy Roman Empire?","Edict of Nantes","Peace of Utrecht","Peace of Augsburg","Treaty of Verdun","C"
"25","Hard","Mathematics","What is the determinant of the 2 by 2 matrix with rows (3, 2) and (5, 4)?","-2","2","22","7","B"
"26","Hard","Sports and Games","What is the maximum possible break in a standard snooker frame without a free ball?","146","155","147","150","C"
"27","Hard","Technology","Which logic gate outputs true exactly when its two inputs differ?","XOR","OR","AND","XNOR","A"
"28","Hard","Mathematics","If log base 2 of x equals 7, what is x?","49","64","14","128","D"
