"Question_ID","Difficulty","Category","Question","A","B","C","D","Correct_Answer"
"1","Easy","Arts and Music","Which art form creates three-dimensional figures from materials such as stone?","Photography","Calligraphy","Watercolor painting","Sculpture","D"
"2","Easy","Arts and Music","How many strings does a standard violin have?","Four","Three","Five","Six","A"
"3","Easy","Sports and Games","In which sport would you score a touchdown?","Basketball","American football","Ice hockey","Baseball","B"
"4","Easy","Nature and Biology","Which animal is the tallest living land animal?","Elephant","Ostrich","Giraffe","Camel","C"
"5","Easy","Literature and Language","Which fictional detective lives at 221B Baker Street?","Hercule Poirot","Sherlock Holmes","Miss Marple","Nancy Drew","B"
"6","Easy","Science","Which organ pumps blood around the human body?","Heart","Lung","Liver","Stomach","A"
"7","Easy","Science","Which star is closest to Earth?","Sirius","Vega","The Sun","Polaris","C"
"8","Easy","Sports and Games","Which sport uses a puck?","Handball","Water polo","Volleyball","Ice hockey","D"
"9","Easy","Mathematics","What is half of 50?","15","20","30","25","D"
"10","Easy","Nature and Biology","Which bird is known for its ability to mimic human speech?","Ostrich","Swan","Parrot","Penguin","C"
"11","Easy","Food and Drink","Which food is made by fermenting milk with specific bacterial cultures?","Bread","Yogurt","Jam","Pasta","B"
"12","Easy","Sports and Games","Which chess piece is the target of checkmate?","King","Queen","Bishop","Rook","A"
"13","Easy","History","Which ancient civilization built the pyramids at Giza?","Aztecs","Romans","Egyptians","Vikings","C"
"14","Easy","Sports and Games","How many rings are in the Olympic symbol?","Four","Seven","Five","Six","C"
"15","Easy","Arts and Music","What is a person who leads an orchestra called?","Curator","Conductor","Editor","Sculptor","B"
"16","Easy","Science","How many legs does an adult insect have?","Four","Eight","Six","Ten","C"
"17","Easy","Arts and Music","Which color results from mixing blue and yellow paint?","Green","Red","Orange","Purple","A"
"18","Easy","Arts and Music","What is the usual name for a painting of a person's face?","Portrait","Still life","Landscape","Seascape","A"
"19","Easy","Sports and Games","Which game includes the instruction to pass Go?","Monopoly","Clue","Scrabble","Risk","A"
"20","Easy","Geography","Which continent is Egypt in?","South America","Europe","Africa","Australia","C"
"21","Easy","Geography","Which direction is opposite to north?","South","West","East","Northeast","A"
"22","Easy","Sports and Games","What is the standard number of players on a soccer team on the field at kickoff?","Eleven","Twelve","Ten","Nine","A"
"23","Easy","Food and Drink","Which vegetable is the main ingredient in traditional French fries?","Carrot","Turnip","Potato","Beetroot","C"
"24","Easy","Sports and Games","In which sport do players use a racket and a shuttlecock?","Badminton","Table tennis","Tennis","Squash","A"
"25","Easy","History","Which people are famous for longships and raids from Scandinavia?","Incas","Vikings","Phoenicians","Maya","B"
"26","Easy","Literature and Language","Who wrote Romeo and Juliet?","Jane Austen","Charles Dickens","William Shakespeare","Mark Twain","C"
"27","Easy","Geography","Which country is home to the Great Wall?","India","Japan","Thailand","China","D"
"28","Easy","Technology","Which traffic-light color usually means stop?","Green","White","Red","Blue","C"
"29","Easy","History","In which country did the ancient Olympic Games originate?","Egypt","Greece","Italy","Persia","B"
"30","Easy","History","Which wall divided a German city during the Cold War?","Berlin Wall","Hadrian's Wall","Western Wall","Great Wall","A"
"31","Easy","Geography","Which city is famous for the Statue of Liberty?","Boston","Chicago","New York City","Los Angeles","C"
"32","Easy","Food and Drink","Which sweet substance is produced by honeybees?","Honey","Maple syrup","Molasses","Caramel","A"
"33","Easy","History","Which city was buried by the eruption of Mount Vesuvius in AD 79?","Athens","Carthage","Pompeii","Alexandria","C"
"34","Easy","Literature and Language","Which fairy-tale character loses a glass slipper?","Snow White","Cinderella","Rapunzel","Sleeping Beauty","B"
"35","Easy","Food and Drink","Which grain is the main ingredient in traditional sushi rice?","Oats","Rye","Rice","Barley","C"
"36","Easy","Mathematics","How many minutes are in one hour?","90","30","100","60","D"
"37","Easy","Mathematics","How many centimeters are in a meter?","60","1,000","100","10","C"
"38","Easy","Science","What force pulls objects toward Earth?","Buoyancy","Gravity","Magnetism","Friction","B"
"39","Easy","Sports and Games","Which swimming stroke is named after an insect?","Freestyle","Butterfly","Breaststroke","Backstroke","B"
"40","Easy","Science","Which planet is known as the Red Planet?","Mars","Jupiter","Mercury","Venus","A"
"41","Easy","Science","Which gas do humans need for normal breathing?","Oxygen","Hydrogen","Helium","Neon","A"
"42","Easy","Food and Drink","What is dried grape fruit called?","Prunes","Figs","Dates","Raisins","D"
"43","Easy","Nature and Biology","What type of animal is a cobra?","Lizard","Snake","Crocodile","Turtle","B"
"44","Easy","Technology","Which unit is commonly used to measure an electric lamp's power consumption?","Meter","Gram","Watt","Liter","C"
"45","Easy","Literature and Language","What kind of animal is Winnie-the-Pooh?","Donkey","Bear","Tiger","Rabbit","B"
"46","Easy","Nature and Biology","Which animal has black-and-white stripes?","Leopard","Gazelle","Gorilla","Zebra","D"
"47","Easy","Science","What is the solid form of water called?","Steam","Vapor","Ice","Mist","C"
"48","Easy","Sports and Games","Which sport is played at Wimbledon?","Rugby","Golf","Cricket","Tennis","D"
"49","Easy","Technology","Which part of a bicycle do you push with your feet to propel it?","Brake levers","Saddle","Handlebars","Pedals","D"
"50","Easy","Food and Drink","Which of these is a citrus fruit?","Cherry","Plum","Banana","Orange","D"
"51","Easy","Food and Drink","Which of these foods is typically baked from dough and topped with tomato sauce and cheese?","Sushi","Risotto","Omelet","Pizza","D"
"52","Easy","Mathematics","What is 9 multiplied by 7?","72","81","56","63","D"
