Question_ID;Question;Answer_A;Answer_B;Answer_C;Answer_D;Correct_Answer
1;What is the capital of France?;Madrid;Paris;Rome;Berlin;B
2;Which planet is known as the Red Planet?;Venus;Jupiter;Mars;Mercury;C
3;How many sides does a triangle have?;3;4;5;6;A
4;Which ocean is the largest on Earth?;Atlantic Ocean;Indian Ocean;Arctic Ocean;Pacific Ocean;D
5;What is H2O commonly called?;Salt;Water;Oxygen;Hydrogen;B
6;Which animal is known for having a trunk?;Elephant;Giraffe;Tiger;Zebra;A
7;How many days are there in a leap year?;364;365;366;367;C
8;Which country is famous for the pyramids of Giza?;Greece;Mexico;Italy;Egypt;D
9;What is 7 × 8?;54;56;58;64;B
10;Which gas do humans need to breathe to survive?;Carbon dioxide;Nitrogen;Oxygen;Helium;C
11;What is the capital of Japan?;Tokyo;Kyoto;Osaka;Nagoya;A
12;Which instrument has black and white keys?;Violin;Trumpet;Piano;Flute;C
13;Which continent is Brazil located in?;Europe;South America;Asia;Africa;B
14;How many minutes are there in one hour?;50;90;100;60;D
15;Which season comes after spring in the Northern Hemisphere?;Summer;Autumn;Winter;Monsoon;A
16;What is the largest mammal in the world?;African elephant;Blue whale;Giraffe;Hippopotamus;B
17;Which shape has four equal sides and four right angles?;Rectangle;Triangle;Square;Pentagon;C
18;Which country is shaped like a boot?;Spain;Portugal;Croatia;Italy;D
19;What is the freezing point of water in degrees Celsius at standard pressure?;0°C;10°C;-10°C;100°C;A
20;Which organ pumps blood around the human body?;Liver;Lungs;Heart;Kidneys;C
21;Who wrote 'Romeo and Juliet'?;Charles Dickens;William Shakespeare;Jane Austen;Mark Twain;B
22;What is the capital of Australia?;Sydney;Melbourne;Perth;Canberra;D
23;Which metal has the chemical symbol Au?;Gold;Silver;Copper;Aluminium;A
24;What is the square root of 81?;7;8;9;10;C
25;Which language is primarily spoken in Brazil?;Spanish;Portuguese;French;Italian;B
26;Which planet is closest to the Sun?;Mercury;Venus;Earth;Mars;A
27;How many players does a standard soccer team have on the field at one time?;9;10;12;11;D
28;Which famous painting was created by Leonardo da Vinci?;The Starry Night;The Scream;Mona Lisa;Guernica;C
29;Which is the smallest prime number?;0;2;1;3;B
30;Which country is home to the city of Barcelona?;Spain;Portugal;France;Italy;A
31;Which vitamin is mainly produced in the skin through exposure to sunlight?;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;D
32;What is the chemical symbol for sodium?;So;S;Na;N;C
33;Which river flows through London?;Seine;Thames;Danube;Rhine;B
34;Which ancient civilization built Machu Picchu?;Inca;Maya;Aztec;Roman;A
35;What is 15% of 200?;20;25;35;30;D
36;Which part of a plant usually absorbs water from the soil?;Leaves;Flowers;Roots;Fruit;C
37;Which country uses the yen as its currency?;China;Japan;South Korea;Thailand;B
38;What is the hardest natural substance?;Diamond;Quartz;Iron;Granite;A
39;Who painted 'The Starry Night'?;Claude Monet;Pablo Picasso;Salvador Dalí;Vincent van Gogh;D
40;Which blood cells primarily carry oxygen?;White blood cells;Platelets;Red blood cells;Plasma cells;C
41;Which is the longest river in Europe?;Volga;Danube;Rhine;Dnieper;A
42;What is the capital of Canada?;Toronto;Vancouver;Ottawa;Montreal;C
43;Which element has the atomic number 1?;Hydrogen;Helium;Oxygen;Carbon;A
44;In computing, what does CPU stand for?;Central Program Utility;Computer Processing Unit;Core Processing Utility;Central Processing Unit;D
45;Which author created the detective Sherlock Holmes?;Agatha Christie;Arthur Conan Doyle;Edgar Allan Poe;Jules Verne;B
46;What is the largest desert in the world by total area?;Sahara;Gobi;Antarctic Desert;Arabian Desert;C
47;Which country gifted the Statue of Liberty to the United States?;France;United Kingdom;Italy;Spain;A
48;What is the process by which plants convert light energy into chemical energy?;Respiration;Fermentation;Transpiration;Photosynthesis;D
49;Which composer wrote the 'Moonlight Sonata'?;Mozart;Beethoven;Bach;Chopin;B
50;Which layer of Earth is directly beneath the crust?;Inner core;Outer core;Mantle;Atmosphere;C
51;What is the capital of New Zealand?;Auckland;Christchurch;Hamilton;Wellington;D
52;Which scientist formulated the three laws of motion?;Isaac Newton;Albert Einstein;Galileo Galilei;Nikola Tesla;A
53;What is the SI unit of electric current?;Volt;Ampere;Watt;Ohm;B
54;Which novel begins with the character Ishmael saying 'Call me Ishmael'?;The Old Man and the Sea;Treasure Island;Moby-Dick;Robinson Crusoe;C
55;Which mountain is the highest above sea level?;K2;Kangchenjunga;Lhotse;Mount Everest;D
56;Which organelle is often called the powerhouse of the cell?;Mitochondrion;Nucleus;Ribosome;Golgi apparatus;A
57;Which European city is divided by the River Danube into Buda and Pest?;Vienna;Budapest;Belgrade;Bratislava;B
58;How many degrees are in the interior angles of a triangle when added together?;90;270;180;360;C
59;Which physicist developed the theory of general relativity?;Niels Bohr;Max Planck;Erwin Schrödinger;Albert Einstein;D
60;Which sea separates Europe and Africa?;Mediterranean Sea;Baltic Sea;Black Sea;North Sea;A
61;Which is the most abundant gas in Earth's atmosphere?;Oxygen;Nitrogen;Carbon dioxide;Argon;B
62;What is the name of the process in which a solid changes directly into a gas?;Condensation;Evaporation;Sublimation;Freezing;C
63;Which country has the city of Marrakech?;Morocco;Tunisia;Egypt;Jordan;A
64;Who wrote 'Pride and Prejudice'?;Emily Brontë;Virginia Woolf;Mary Shelley;Jane Austen;D
65;What is the binary representation of the decimal number 5?;110;101;111;100;B
